PERMNO,first_ymm,last_ymm,n_months,fulllife_nominal,fulllife_real
10565,198608,199103,56,-0.9840690406394651,-0.9870782218520106
10566,198608,199708,133,4.135324723288919,2.4970028432844353
10567,192512,193611,132,-0.6781208596030281,-0.5861553909181789
10568,198206,201107,350,3.4804618028019574,0.8998957193563648
10569,198608,199610,123,1.391789967143366,0.654459895149708
10570,198608,199205,70,2.2302577204129808,1.5319486069092436
10571,198608,200304,201,-0.09736159753544345,-0.4622475241029989
10572,198608,199804,141,2.275861927076752,1.207426960091723
10573,198608,199612,125,-0.9961538631112852,-0.9973445650106288
10574,198802,200806,245,-0.6687183300708446,-0.8248204332230196
10575,192512,196904,521,27.08532513432508,12.926607504624004
10576,197212,199102,219,-0.7678943020121072,-0.9269934599800691
10577,198608,198804,21,-0.9423077877196774,-0.9460521157583661
10578,198608,199507,108,1.228912139124923,0.600431994978226
10579,198608,198908,37,-0.7999999305913045,-0.8242374991954081
10580,198608,199506,107,1.819701292520485,1.0246379772524152
10581,198608,199404,93,2.0761856931719405,1.2852261424852625
10582,198608,198904,33,-0.9426229415417249,-0.9489619179432889
10583,192512,192701,14,-0.9303797279743266,-0.9283905773450216
10584,198103,198311,33,-0.8928570001672036,-0.9069380465879169
10585,198608,198907,36,-0.9565217279440299,-0.9617293344844958
10586,198608,200805,262,-0.42613000597820744,-0.7098856678421686
10587,198608,198910,39,-0.8874998872628029,-0.9019206819687652
10588,198608,200302,199,10.425382389188398,5.832765546783891
10589,198608,198802,19,0.36842429810687066,0.29174535036812416
10590,198802,198905,16,-0.7272723652838023,-0.7451164189283999
10591,192512,196706,499,8.818691265123311,4.307400683850438
10592,197809,198601,89,0.5384593339524395,-0.07355551057608521
10593,198608,199203,68,-0.9746093781441211,-0.980041112037195
10594,198608,200112,185,2.0414830808280313,0.8847900246217897
10595,198608,198707,12,-0.7647058895039494,-0.7735966159989672
10596,198608,199707,132,5.967301316985142,3.7533924872889237
